Epoch [4/500], Step [29/45], Loss: 0.8736
Epoch [4/500], Step [30/45], Loss: 0.8736
Epoch [4/500], Step [31/45], Loss: 0.8735
Epoch [4/500], Step [32/45], Loss: 0.8735
Epoch [4/500], Step [33/45], Loss: 0.8735
Epoch [4/500], Step [34/45], Loss: 0.8735
Epoch [4/500], Step [35/45], Loss: 0.8735
Epoch [4/500], Step [36/45], Loss: 0.8734
Epoch [4/500], Step [37/45], Loss: 0.8734
Epoch [4/500], Step [38/45], Loss: 0.8734
Epoch [4/500], Step [39/45], Loss: 0.8733
Epoch [4/500], Step [40/45], Loss: 0.8733
Epoch [4/500], Step [41/45], Loss: 0.8733
Epoch [4/500], Step [42/45], Loss: 0.8732
Epoch [4/500], Step [43/45], Loss: 0.8732
Epoch [4/500], Step [44/45], Loss: 0.8732
Epoch [4/500], Step [45/45], Loss: 0.8732
unique_labels:3.1975
unique_labels:3.1615
unique_labels:3.181
unique_labels:3.2015
unique_labels:3.2075
unique_labels:3.2265
unique_labels:3.2275
unique_labels:3.246
unique_labels:3.147
unique_labels:3.214
satisfied:0.056499999999999995  purity:1.3729898214285727  acc:0.5299920634920635
Epoch [4/500], Checkpoint saved to log/weight/part1.pth satisfied:0.056499999999999995 acc:0.5299920634920635
Epoch [5/500], Step [1/45], Loss: 0.8732
Epoch [5/500], Step [2/45], Loss: 0.8731
Epoch [5/500], Step [3/45], Loss: 0.8731
Epoch [5/500], Step [4/45], Loss: 0.8731
Epoch [5/500], Step [5/45], Loss: 0.8730
Epoch [5/500], Step [6/45], Loss: 0.8730
Epoch [5/500], Step [7/45], Loss: 0.8730
Epoch [5/500], Step [8/45], Loss: 0.8730
Epoch [5/500], Step [9/45], Loss: 0.8729
Epoch [5/500], Step [10/45], Loss: 0.8729
Epoch [5/500], Step [11/45], Loss: 0.8729
Epoch [5/500], Step [12/45], Loss: 0.8729
Epoch [5/500], Step [13/45], Loss: 0.8728
Epoch [5/500], Step [14/45], Loss: 0.8728
Epoch [5/500], Step [15/45], Loss: 0.8728
Epoch [5/500], Step [16/45], Loss: 0.8727
Epoch [5/500], Step [17/45], Loss: 0.8727
Epoch [5/500], Step [18/45], Loss: 0.8727
Epoch [5/500], Step [19/45], Loss: 0.8727
Epoch [5/500], Step [20/45], Loss: 0.8726
Epoch [5/500], Step [21/45], Loss: 0.8726
Epoch [5/500], Step [22/45], Loss: 0.8726
Epoch [5/500], Step [23/45], Loss: 0.8725
Epoch [5/500], Step [24/45], Loss: 0.8725
Epoch [5/500], Step [25/45], Loss: 0.8725
Epoch [5/500], Step [26/45], Loss: 0.8725
Epoch [5/500], Step [27/45], Loss: 0.8724
Epoch [5/500], Step [28/45], Loss: 0.8724
Epoch [5/500], Step [29/45], Loss: 0.8724
Epoch [5/500], Step [30/45], Loss: 0.8724
Epoch [5/500], Step [31/45], Loss: 0.8723
Epoch [5/500], Step [32/45], Loss: 0.8723
Epoch [5/500], Step [33/45], Loss: 0.8723
Epoch [5/500], Step [34/45], Loss: 0.8722
Epoch [5/500], Step [35/45], Loss: 0.8722
Epoch [5/500], Step [36/45], Loss: 0.8722
Epoch [5/500], Step [37/45], Loss: 0.8722
Epoch [5/500], Step [38/45], Loss: 0.8721
Epoch [5/500], Step [39/45], Loss: 0.8721
Epoch [5/500], Step [40/45], Loss: 0.8721
Epoch [5/500], Step [41/45], Loss: 0.8721
Epoch [5/500], Step [42/45], Loss: 0.8720
Epoch [5/500], Step [43/45], Loss: 0.8720
Epoch [5/500], Step [44/45], Loss: 0.8720
Epoch [5/500], Step [45/45], Loss: 0.8719
Epoch [6/500], Step [1/45], Loss: 0.8719
Epoch [6/500], Step [2/45], Loss: 0.8719
Epoch [6/500], Step [3/45], Loss: 0.8719
